Fuel Consumption City,Fuel Consumption Hwy,Fuel Consumption Comb
12.10 liters per 100 km,13.70 km per L,10.06 km per L
16.60 liters per 100 km,6.41 km/L,6.19 km/L
22.19 MPG (AS),34.87 mpg Imp.,9.47 L/100km
12.50 L/100 km,zero,9.59 km/L
5.88 km/L,20.03 mpg Imp.,1.57 L/10km
15.78 mpg Imp.,14.50 L/100 km,1.64 L/10km
17.02 mpg Imp.,0.99 L/10km,13.59 liters per 100 km
20.60 L/100 km,1.11 L/10km,16.32 liters per 100 km
10.31 km per L,7.30 L/100 km,8.62 liters per 100 km
0.98 L/10km,7.20 liters per 100 km,8.63 L/100 km
32.10 mpg Imp.,0.84 L/10km,not-available
16.56 MPG (AS),8.10 liters per 100 km,20.53 MPG (AS)
8.50 liters per 100 km,14.93 km per L,36.73 mpg Imp.
15.60 L/100 km,10.40 liters per 100 km,17.74 MPG (AS)
7.20 L/100km,51.36 mpg Imp.,15.54 km/L
18.09 MPG (AS),0.84 L/10km,21.52 MPG (AS)
7.30 km/L,9.40 liters per 100 km,zero
6.06 km/L,18.09 MPG (AS),6.70 km per L
8.62 km per L,8.00 L/100 km,1.00 L/10km
23.81 km/L,14.49 km/L,18.47 km per L
11.92 mpg Imp.,5.92 km/L,4.84 km/L
10.00 liters per 100 km,14.49 km/L,11.62 km/L
19.00 L/100km,11.10 liters per 100 km,1.54 L/10km
9.80 L/100 km,zero,0.87 L/10km
14.70 liters per 100 km,29.73 mpg Imp.,19.03 MPG (AS)
10.31 km per L,0.77 L/10km,8.80 liters per 100 km
16.70 L/100 km,7.52 km per L,6.59 km per L
12.40 L/100 km,27.16 mpg Imp.,24.56 mpg Imp.
,1.03 L/10km,9.08 km per L
27.35 MPG (AS),12.66 km/L,8.29 L/100km
11.50 L/100 km,9.00 L/100km,1.04 L/10km
,9.10 L/100km,9.30 km/L
9.58 mpg Imp.,15.00 L/100 km,22.98 L/100 km
12.82 km/L,13.70 km/L,31.05 MPG (AS)
21.98 MPG (AS),12.99 km/L,9.35 liters per 100 km
not-available,9.10 L/100km,22.94 MPG (AS)
0.88 L/10km,15.87 km/L,13.03 km/L
27.04 MPG (AS),8.40 L/100km,8.56 L/100km
10.53 km/L,14.49 km per L,12.00 km per L
7.41 km/L,8.60 liters per 100 km,11.29 liters per 100 km
11.88 MPG (AS),18.00 L/100km,12.39 MPG (AS)
12.80 liters per 100 km,10.80 L/100km,1.19 L/10km
19.00 liters per 100 km,11.50 L/100 km,15.62 L/100km
13.60 liters per 100 km,10.50 L/100km,1.22 L/10km
12.70 L/100 km,11.24 km per L,1.10 L/10km
9.00 L/100 km,39.79 mpg Imp.,0.81 L/10km
10.75 km/L,17.24 km per L,12.94 km per L
22.07 mpg Imp.,24.14 mpg Imp.,19.12 MPG (AS)
0.89 L/10km,7.80 L/100km,0.84 L/10km
1.16 L/10km,36.22 mpg Imp.,28.56 mpg Imp.
1.00 L/10km,29.77 MPG (AS),9.05 L/100km
15.80 liters per 100 km,1.31 L/10km,6.86 km per L
4.61 km/L,9.71 km/L,17.05 mpg Imp.
19.40 liters per 100 km,10.75 km per L,14.86 liters per 100 km
14.34 MPG (AS),12.60 L/100 km,6.81 km per L
8.85 km per L,31.39 mpg Imp.,9.74 km per L
12.20 L/100 km,,10.40 liters per 100 km
9.09 km/L,10.53 km/L,1.03 L/10km
12.50 L/100km,8.60 liters per 100 km,10.74 L/100 km
5.08 km/L,1.07 L/10km,15.03 MPG (AS)
9.17 km per L,37.17 mpg Imp.,10.62 km/L
23.81 km/L,5.60 liters per 100 km,4.83 L/100 km
7.35 km per L,8.20 L/100km,11.17 L/100 km
15.18 MPG (AS),11.90 km per L,12.30 liters per 100 km
9.00 L/100km,7.20 liters per 100 km,34.49 mpg Imp.
11.60 L/100km,8.60 L/100 km,10.25 liters per 100 km
9.10 liters per 100 km,7.50 liters per 100 km,33.71 mpg Imp.
24.35 mpg Imp.,9.30 L/100 km,10.56 L/100 km
24.00 MPG (AS),0.78 L/10km,8.90 liters per 100 km
17.55 MPG (AS),7.94 km/L,21.66 mpg Imp.
5.43 km/L,,14.76 L/100km
,9.09 km per L,18.88 mpg Imp.
21.00 L/100km,14.30 liters per 100 km,17.98 L/100 km
9.71 km/L,44.38 MPG (AS),8.05 L/100 km
8.90 L/100km,0.87 L/10km,8.81 L/100km
,7.90 L/100km,9.64 km per L
24.56 mpg Imp.,7.20 L/100 km,29.53 mpg Imp.
8.40 L/100 km,6.70 L/100 km,13.10 km/L
12.20 km/L,38.17 mpg Imp.,12.76 km/L
10.30 L/100km,30.55 MPG (AS),30.94 mpg Imp.
0.42 L/10km,15.87 km/L,19.44 km per L
9.10 L/100 km,33.13 MPG (AS),12.20 km/L
9.01 km per L,7.50 liters per 100 km,24.81 MPG (AS)
9.43 km/L,32.67 MPG (AS),0.91 L/10km
14.08 MPG (AS),13.44 MPG (AS),5.86 km per L
1.77 L/10km,19.93 MPG (AS),6.65 km/L
1.06 L/10km,12.10 L/100 km,8.87 km/L
22.62 MPG (AS),6.40 L/100km,8.60 L/100km
9.52 km/L,6.30 L/100km,11.61 km per L
17.90 liters per 100 km,14.30 liters per 100 km,16.28 L/100km
10.10 L/100km,0.85 L/10km,10.66 km per L
12.10 L/100km,0.96 L/10km,9.11 km per L
,6.80 liters per 100 km,8.29 L/100km
25.00 mpg Imp.,24.76 MPG (AS),10.49 L/100 km
11.42 MPG (AS),13.44 MPG (AS),5.21 km per L
16.10 L/100 km,6.54 km/L,15.74 L/100 km
12.71 MPG (AS),8.85 km per L,6.55 km/L
1.62 L/10km,0.82 L/10km,12.60 L/100 km
1.38 L/10km,10.42 km/L,1.19 L/10km
15.11 mpg Imp.,10.53 km per L,
28.25 mpg Imp.,30.55 MPG (AS),8.96 L/100km
1.06 L/10km,0.79 L/10km,10.66 km per L
0.72 L/10km,8.60 liters per 100 km,7.83 liters per 100 km
11.36 km per L,7.00 L/100 km,12.52 km per L
17.30 L/100 km,19.77 MPG (AS),6.72 km/L
10.20 km per L,12.20 km/L,9.08 L/100 km
12.70 L/100 km,7.90 L/100km,10.54 L/100 km
14.00 liters per 100 km,10.64 km per L,1.19 L/10km
11.10 L/100 km,8.26 km per L,11.55 L/100km
18.20 L/100km,15.27 mpg Imp.,1.83 L/10km
13.36 MPG (AS),10.10 km per L,7.07 km per L
1.01 L/10km,0.55 L/10km,8.03 L/100 km
29.12 mpg Imp.,7.30 L/100 km,8.62 liters per 100 km
5.10 L/100 km,16.95 km per L,43.08 MPG (AS)
10.64 km per L,41.54 mpg Imp.,12.15 km per L
0.55 L/10km,13.16 km/L,36.50 MPG (AS)
25.02 MPG (AS),34.45 mpg Imp.,31.88 mpg Imp.
29.12 mpg Imp.,5.50 L/100 km,12.80 km/L
14.90 L/100 km,24.25 MPG (AS),
9.20 liters per 100 km,14.49 km/L,8.16 L/100 km
10.75 km/L,7.70 L/100 km,8.58 liters per 100 km
10.40 L/100 km,13.70 km per L,0.90 L/10km
0.42 L/10km,44.84 mpg Imp.,54.90 mpg Imp.
10.20 liters per 100 km,36.69 mpg Imp.,9.07 L/100km
25.29 MPG (AS),31.36 MPG (AS),
31.74 mpg Imp.,0.65 L/10km,12.79 km per L
15.50 L/100km,19.60 MPG (AS),13.93 L/100 km
1.02 L/10km,6.20 liters per 100 km,
5.59 km per L,24.50 MPG (AS),1.42 L/10km
1.11 L/10km,0.62 L/10km,31.76 mpg Imp.
1.50 L/10km,11.10 liters per 100 km,
8.30 L/100km,12.35 km per L,12.18 km/L
9.80 liters per 100 km,9.10 L/100 km,9.48 L/100 km
17.42 MPG (AS),16.39 km/L,27.78 mpg Imp.
11.80 liters per 100 km,7.40 liters per 100 km,28.77 mpg Imp.
14.60 L/100km,18.97 MPG (AS),7.35 km per L
11.24 km per L,1.01 L/10km,9.44 L/100km
12.00 L/100 km,28.34 MPG (AS),10.34 liters per 100 km
11.76 km/L,8.40 L/100 km,8.46 L/100km
10.20 L/100 km,8.00 liters per 100 km,30.67 mpg Imp.
16.00 liters per 100 km,7.58 km/L,15.96 MPG (AS)
13.00 L/100km,8.10 L/100km,21.79 MPG (AS)
26.65 mpg Imp.,33.13 MPG (AS),9.03 L/100km
17.12 mpg Imp.,10.40 L/100km,7.27 km per L
11.90 km per L,7.80 liters per 100 km,28.93 MPG (AS)
23.76 MPG (AS),7.20 L/100 km,8.69 L/100km
9.30 L/100km,7.70 L/100km,0.86 L/10km
22.40 MPG (AS),14.93 km/L,11.38 km per L
14.08 MPG (AS),12.70 L/100km,14.90 L/100 km
19.70 liters per 100 km,16.22 MPG (AS),17.36 liters per 100 km
20.40 liters per 100 km,,17.57 L/100km
12.40 liters per 100 km,0.91 L/10km,9.16 km per L
1.72 L/10km,9.43 km/L,14.23 L/100 km
12.10 L/100 km,9.00 liters per 100 km,21.97 MPG (AS)
15.08 MPG (AS),1.39 L/10km,
12.80 liters per 100 km,11.76 km per L,10.87 L/100 km
10.70 liters per 100 km,12.66 km per L,0.94 L/10km
not-available,28.68 MPG (AS),24.01 MPG (AS)
0.94 L/10km,15.38 km per L,
11.90 L/100 km,9.30 L/100 km,26.33 mpg Imp.
18.58 mpg Imp.,36.19 MPG (AS),20.84 MPG (AS)
21.38 MPG (AS),7.10 liters per 100 km,9.24 L/100 km
20.18 mpg Imp.,7.20 liters per 100 km,9.14 km/L
14.70 MPG (AS),9.52 km/L,20.89 mpg Imp.
20.10 L/100 km,8.26 km/L,zero
5.68 km/L,1.09 L/10km,zero
18.71 mpg Imp.,21.78 MPG (AS),17.87 MPG (AS)
1.60 L/10km,10.00 L/100 km,7.52 km per L
20.63 MPG (AS),12.99 km/L,10.27 km per L
10.75 km per L,32.67 MPG (AS),8.36 L/100km
5.88 km per L,23.52 MPG (AS),7.22 km/L
11.36 km/L,12.66 km/L,8.39 L/100 km
27.16 mpg Imp.,9.90 liters per 100 km,10.18 liters per 100 km
9.35 mpg Imp.,19.10 L/100km,25.20 liters per 100 km
1.41 L/10km,8.70 km per L,21.85 mpg Imp.
8.93 km per L,11.49 km per L,9.93 km per L
9.30 L/100km,7.60 L/100 km,27.56 MPG (AS)
15.08 MPG (AS),19.12 MPG (AS),7.08 km per L
6.37 km/L,10.50 liters per 100 km,17.61 MPG (AS)
45.56 mpg Imp.,14.49 km per L,0.65 L/10km
18.82 MPG (AS),9.90 km/L,20.60 MPG (AS)
12.78 mpg Imp.,23.54 mpg Imp.,17.55 L/100 km
18.20 L/100km,30.70 mpg Imp.,1.42 L/10km
10.50 L/100 km,9.30 L/100 km,23.62 MPG (AS)
4.20 liters per 100 km,43.46 mpg Imp.,5.24 liters per 100 km
17.99 mpg Imp.,9.17 km per L,13.54 liters per 100 km
6.41 km/L,23.15 mpg Imp.,16.72 MPG (AS)
35.31 mpg Imp.,14.49 km/L,13.32 km/L
12.80 L/100km,31.79 MPG (AS),1.04 L/10km
1.72 L/10km,9.71 km/L,7.09 km per L
1.19 L/10km,7.90 L/100 km,9.90 km per L
23.52 MPG (AS),0.71 L/10km,32.49 mpg Imp.
16.52 mpg Imp.,0.84 L/10km,21.42 mpg Imp.
4.52 km per L,21.19 MPG (AS),13.72 MPG (AS)
14.70 L/100 km,8.00 L/100km,
19.40 liters per 100 km,12.00 L/100 km,6.22 km per L
11.80 L/100km,0.78 L/10km,23.52 MPG (AS)
4.59 km per L,16.00 MPG (AS),12.64 MPG (AS)
16.40 L/100km,10.20 liters per 100 km,7.35 km per L
4.20 L/100km,16.95 km per L,4.96 L/100 km
17.55 MPG (AS),24.50 MPG (AS),8.55 km per L
1.71 L/10km,11.20 L/100 km,16.28 MPG (AS)
6.10 km/L,9.30 L/100 km,1.32 L/10km
12.10 liters per 100 km,10.31 km per L,11.02 L/100 km
0.99 L/10km,8.60 L/100km,30.33 mpg Imp.
28.53 mpg Imp.,0.83 L/10km,10.89 km/L
23.06 MPG (AS),31.79 MPG (AS),
0.90 L/10km,0.66 L/10km,7.92 liters per 100 km
28.68 MPG (AS),7.40 L/100km,7.84 L/100 km
9.90 km/L,8.30 L/100 km,9.29 L/100 km
8.20 km/L,8.30 liters per 100 km,10.45 L/100 km
15.80 L/100 km,10.10 liters per 100 km,13.23 L/100 km
22.40 MPG (AS),14.29 km/L,31.65 mpg Imp.
23.35 mpg Imp.,11.40 L/100km,1.18 L/10km
11.90 L/100km,11.30 L/100km,11.63 L/100 km
30.50 L/100 km,13.30 L/100km,10.33 MPG (AS)
28.82 mpg Imp.,8.30 L/100km,30.96 mpg Imp.
16.00 MPG (AS),28.25 mpg Imp.,12.59 L/100 km
15.90 liters per 100 km,11.49 km/L,12.66 L/100km
12.40 L/100km,0.81 L/10km,10.46 liters per 100 km
2.09 L/10km,,14.00 MPG (AS)
11.11 km/L,7.70 L/100 km,33.57 mpg Imp.
12.60 L/100 km,32.85 mpg Imp.,10.80 L/100km
1.74 L/10km,10.00 L/100km,7.11 km per L
10.20 L/100 km,9.10 liters per 100 km,9.71 L/100km
1.62 L/10km,9.90 km per L,20.99 mpg Imp.
8.13 km/L,29.73 mpg Imp.,1.10 L/10km
16.45 MPG (AS),18.09 MPG (AS),13.71 liters per 100 km
11.40 L/100 km,7.30 liters per 100 km,9.55 L/100km
25.85 MPG (AS),6.50 liters per 100 km,0.79 L/10km
13.10 L/100 km,8.80 liters per 100 km,8.96 km per L
6.45 km/L,10.40 L/100km,13.21 liters per 100 km
not-available,10.80 L/100km,1.62 L/10km
39.20 MPG (AS),15.87 km per L,6.13 liters per 100 km
8.77 km/L,1.06 L/10km,9.06 km/L
17.50 L/100km,27.97 mpg Imp.,19.94 mpg Imp.
,8.33 km per L,8.81 L/100 km
1.60 L/10km,11.90 km per L,12.58 L/100 km
,9.30 L/100 km,13.97 MPG (AS)
8.85 km per L,12.82 km/L,9.72 liters per 100 km
33.23 mpg Imp.,5.80 L/100 km,32.29 MPG (AS)
,7.50 L/100 km,1.03 L/10km
1.32 L/10km,11.40 L/100 km,8.07 km/L
1.49 L/10km,1.33 L/10km,7.05 km/L
14.70 liters per 100 km,8.60 L/100 km,8.36 km per L
7.19 km per L,21.78 MPG (AS),8.00 km/L
11.20 liters per 100 km,0.89 L/10km,9.84 km per L
26.40 mpg Imp.,25.57 MPG (AS),9.98 km per L
9.62 km per L,34.03 mpg Imp.,9.46 L/100km
10.50 liters per 100 km,11.90 km per L,9.55 L/100 km
27.16 mpg Imp.,32.67 MPG (AS),0.90 L/10km
19.23 km per L,38.70 mpg Imp.,6.14 L/100 km
1.09 L/10km,11.90 km/L,0.98 L/10km
15.30 L/100 km,1.06 L/10km,21.42 mpg Imp.
15.40 L/100km,11.10 L/100 km,17.47 MPG (AS)
21.78 MPG (AS),31.39 mpg Imp.,9.99 liters per 100 km
6.90 km per L,0.99 L/10km,12.43 liters per 100 km
1.23 L/10km,10.20 km/L,1.12 L/10km
1.02 L/10km,7.50 L/100 km,8.98 L/100 km
12.10 liters per 100 km,24.76 MPG (AS),10.93 liters per 100 km
6.17 km per L,8.85 km per L,7.15 km/L
21.00 MPG (AS),12.05 km per L,9.89 L/100km
7.80 L/100km,7.40 L/100 km,7.62 liters per 100 km
19.93 MPG (AS),12.50 km/L,10.09 liters per 100 km
8.85 km/L,0.77 L/10km,10.33 km per L
6.54 km/L,11.90 km per L,8.20 km per L
6.29 km/L,12.05 km per L,8.01 km per L
10.10 liters per 100 km,12.66 km/L,0.91 L/10km
19.77 MPG (AS),10.99 km per L,10.64 L/100km
10.45 MPG (AS),7.94 km/L,18.05 liters per 100 km
14.60 liters per 100 km,10.10 km/L,12.48 L/100km
28.68 MPG (AS),,12.76 km/L
15.52 mpg Imp.,10.40 L/100 km,6.81 km/L
1.22 L/10km,27.35 MPG (AS),10.58 liters per 100 km
8.77 km/L,9.43 km per L,1.10 L/10km
21.10 liters per 100 km,10.30 L/100 km,
8.26 km/L,10.00 km/L,1.12 L/10km
10.30 liters per 100 km,17.82 MPG (AS),8.62 km/L
20.63 MPG (AS),0.88 L/10km,10.23 liters per 100 km
9.80 L/100km,12.50 km per L,8.99 L/100 km
6.54 km/L,32.47 mpg Imp.,8.11 km per L
36.22 mpg Imp.,8.40 L/100km,12.39 km per L
12.60 L/100 km,12.66 km/L,26.94 mpg Imp.
10.53 km/L,35.64 MPG (AS),
18.46 mpg Imp.,10.40 L/100km,7.64 km/L
16.50 L/100 km,9.90 liters per 100 km,7.39 km per L
0.90 L/10km,8.40 L/100km,26.94 MPG (AS)
8.93 km per L,8.20 L/100km,9.85 liters per 100 km
5.80 liters per 100 km,6.90 L/100 km,15.89 km/L
17.55 MPG (AS),10.53 km/L,11.64 L/100km
,7.30 liters per 100 km,7.91 L/100km
24.35 mpg Imp.,14.08 km/L,9.57 L/100 km
11.10 L/100km,12.99 km per L,10.45 km/L
26.65 mpg Imp.,not-available,11.19 km/L
50.05 MPG (AS),12.99 km/L,16.53 km/L
1.23 L/10km,34.03 mpg Imp.,10.50 L/100km
9.50 L/100km,6.70 L/100km,8.24 liters per 100 km
5.92 km per L,11.49 km per L,17.81 MPG (AS)
1.01 L/10km,6.30 L/100 km,0.84 L/10km
12.00 liters per 100 km,8.90 L/100 km,9.43 km/L
13.50 liters per 100 km,8.10 L/100km,11.07 L/100km
17.70 liters per 100 km,10.80 L/100 km,1.46 L/10km
8.30 L/100 km,28.68 MPG (AS),12.11 km/L
15.08 MPG (AS),23.29 MPG (AS),7.62 km/L
9.26 km per L,7.10 liters per 100 km,9.13 L/100km
13.68 MPG (AS),5.38 km per L,15.84 mpg Imp.
5.35 km/L,11.30 L/100 km,1.54 L/10km
8.62 km per L,29.04 MPG (AS),9.98 km per L
19.90 L/100 km,23.74 mpg Imp.,6.13 km/L
10.75 km per L,9.30 L/100 km,10.75 km per L
4.76 km/L,18.90 liters per 100 km,20.05 liters per 100 km
17.77 mpg Imp.,24.50 MPG (AS),21.62 mpg Imp.
11.76 km per L,7.80 liters per 100 km,8.19 liters per 100 km
14.70 L/100km,1.16 L/10km,7.52 km/L
0.88 L/10km,8.10 L/100km,8.48 liters per 100 km
20.03 mpg Imp.,13.51 km per L,21.22 MPG (AS)
8.33 km per L,8.30 L/100km,10.34 L/100 km
9.26 km per L,12.20 km/L,9.63 L/100km
12.35 km per L,13.16 km per L,12.70 km per L
0.93 L/10km,6.80 L/100km,
1.44 L/10km,0.98 L/10km,1.23 L/10km
21.40 L/100 km,12.70 L/100 km,17.48 liters per 100 km
5.56 km/L,6.02 km per L,5.76 km per L
25.68 mpg Imp.,8.50 liters per 100 km,0.99 L/10km
4.93 km per L,18.52 MPG (AS),5.92 km per L
1.45 L/10km,9.90 km per L,7.99 km/L
12.99 km per L,0.68 L/10km,38.72 mpg Imp.
1.50 L/10km,27.69 mpg Imp.,22.00 mpg Imp.
13.90 L/100km,8.00 L/100km,11.24 L/100 km
4.74 km/L,21.40 mpg Imp.,17.55 L/100km
4.20 km per L,12.40 L/100km,18.67 L/100km
12.50 liters per 100 km,30.55 MPG (AS),10.34 L/100 km
5.46 km per L,18.90 liters per 100 km,12.67 MPG (AS)
25.85 MPG (AS),7.50 L/100 km,8.38 L/100 km
15.19 mpg Imp.,13.40 L/100 km,1.63 L/10km
5.99 km per L,9.35 km per L,14.00 liters per 100 km
12.05 km per L,8.30 liters per 100 km,12.05 km/L
5.60 L/100km,0.73 L/10km,6.37 L/100km
12.60 L/100km,not-available,9.62 km per L
17.20 L/100km,,
10.10 km/L,19.93 MPG (AS),10.76 L/100 km
8.60 liters per 100 km,32.67 MPG (AS),12.55 km/L
1.82 L/10km,7.81 km per L,15.77 L/100km
1.39 L/10km,14.08 km per L,9.23 km/L
15.68 MPG (AS),9.09 km/L,17.82 MPG (AS)
1.03 L/10km,8.40 liters per 100 km,10.59 km per L
25.90 L/100km,7.41 km/L,20.32 liters per 100 km
9.50 L/100 km,8.00 L/100km,8.82 L/100 km
10.32 MPG (AS),9.26 km/L,not-available
10.20 liters per 100 km,0.73 L/10km,11.24 km/L
1.44 L/10km,10.99 km per L,23.51 mpg Imp.
16.40 L/100 km,23.06 MPG (AS),13.61 liters per 100 km
8.93 km per L,13.89 km per L,10.64 km/L
0.65 L/10km,6.40 liters per 100 km,6.46 liters per 100 km
10.40 L/100km,6.30 liters per 100 km,8.55 L/100 km
31.04 mpg Imp.,11.36 km/L,11.15 km/L
24.78 mpg Imp.,10.00 liters per 100 km,21.84 MPG (AS)
7.50 L/100km,7.30 liters per 100 km,
8.00 liters per 100 km,13.33 km per L,0.78 L/10km
12.50 mpg Imp.,13.60 L/100km,18.55 liters per 100 km
12.20 liters per 100 km,12.50 km/L,10.31 liters per 100 km
15.00 L/100km,1.38 L/10km,14.46 L/100 km
1.61 L/10km,11.70 L/100km,16.66 MPG (AS)
10.64 km/L,7.50 L/100 km,27.53 MPG (AS)
9.52 km/L,12.20 km per L,0.95 L/10km
16.45 MPG (AS),10.64 km per L,12.10 L/100km
25.57 MPG (AS),15.38 km/L,7.99 liters per 100 km
17.88 mpg Imp.,10.60 liters per 100 km,13.46 L/100km
23.35 mpg Imp.,9.20 L/100 km,not-available
9.40 liters per 100 km,12.66 km per L,8.72 liters per 100 km
19.77 MPG (AS),11.90 km/L,22.78 MPG (AS)
10.30 L/100 km,9.35 km/L,9.54 km per L
11.20 L/100km,7.40 L/100km,10.54 km per L
,30.37 mpg Imp.,20.85 MPG (AS)
zero,1.07 L/10km,11.80 liters per 100 km
1.76 L/10km,9.01 km per L,14.68 liters per 100 km
0.90 L/10km,6.00 liters per 100 km,7.65 L/100 km
28.34 MPG (AS),6.40 L/100 km,not-available
1.03 L/10km,0.84 L/10km,10.59 km/L
15.70 L/100km,zero,7.46 km/L
14.60 L/100 km,24.14 mpg Imp.,13.29 liters per 100 km
10.00 liters per 100 km,5.70 liters per 100 km,8.06 L/100km
4.50 liters per 100 km,7.60 L/100 km,5.89 L/100km
6.20 L/100 km,6.80 L/100 km,6.47 L/100km
27.16 mpg Imp.,7.10 L/100 km,31.69 mpg Imp.
,14.71 km/L,
18.10 L/100 km,23.54 mpg Imp.,15.36 L/100 km
22.84 MPG (AS),28.82 mpg Imp.,10.07 liters per 100 km
9.90 km per L,0.85 L/10km,10.66 km/L
27.16 mpg Imp.,12.05 km/L,9.46 liters per 100 km
6.80 km/L,9.50 L/100 km,12.36 L/100km
25.80 L/100 km,15.80 L/100 km,21.30 L/100 km
22.19 MPG (AS),7.60 L/100 km,10.81 km/L
13.14 MPG (AS),9.90 L/100km,14.30 liters per 100 km
18.46 mpg Imp.,11.63 km per L,8.14 km/L
17.00 L/100 km,21.58 MPG (AS),7.02 km per L
0.97 L/10km,41.54 mpg Imp.,0.84 L/10km
21.24 mpg Imp.,6.10 L/100km,28.08 mpg Imp.
11.50 L/100 km,40.35 mpg Imp.,9.47 L/100km
12.12 MPG (AS),7.75 km per L,16.48 liters per 100 km
5.85 km per L,not-available,15.75 L/100 km
6.40 L/100 km,51.13 MPG (AS),17.89 km per L
10.40 L/100 km,30.16 MPG (AS),9.23 L/100 km
9.10 liters per 100 km,7.70 L/100km,11.81 km per L
9.90 L/100 km,7.70 L/100km,11.22 km/L
1.20 L/10km,9.70 L/100km,25.76 mpg Imp.
16.50 liters per 100 km,10.10 liters per 100 km,13.62 L/100 km
9.90 km per L,42.77 MPG (AS),0.80 L/10km
15.60 L/100km,11.30 L/100km,17.21 MPG (AS)
11.63 km/L,7.70 L/100 km,
,29.40 MPG (AS),12.76 km/L
4.50 liters per 100 km,42.16 mpg Imp.,18.21 km/L
13.30 L/100km,8.00 liters per 100 km,10.91 L/100 km
6.85 km/L,10.30 liters per 100 km,22.30 mpg Imp.
5.71 km/L,9.90 liters per 100 km,14.08 liters per 100 km
9.35 km per L,0.87 L/10km,0.98 L/10km
18.20 L/100 km,9.26 km/L,15.82 MPG (AS)
15.60 L/100 km,9.62 km per L,17.74 MPG (AS)
1.58 L/10km,11.60 L/100 km,1.39 L/10km
4.20 L/100 km,6.00 liters per 100 km,0.50 L/10km
7.46 km/L,0.81 L/10km,21.35 MPG (AS)
10.10 km/L,8.80 liters per 100 km,30.04 mpg Imp.
21.19 MPG (AS),12.05 km per L,9.84 L/100km
9.43 km per L,9.10 L/100 km,10.08 km/L
31.04 mpg Imp.,6.50 liters per 100 km,12.61 km per L
1.48 L/10km,10.31 km/L,8.00 km/L
,8.50 L/100 km,0.99 L/10km
1.44 L/10km,10.10 L/100km,
6.41 km/L,0.79 L/10km,8.24 km/L
13.16 km per L,0.63 L/10km,14.26 km per L
13.50 liters per 100 km,10.80 L/100km,12.29 L/100 km
8.93 km per L,14.50 L/100 km,12.69 L/100 km
26.73 MPG (AS),35.76 mpg Imp.,
11.80 L/100 km,0.79 L/10km,1.00 L/10km
10.00 liters per 100 km,6.40 L/100km,0.84 L/10km
22.42 mpg Imp.,10.75 km per L,9.00 km per L
21.19 MPG (AS),12.35 km per L,0.98 L/10km
13.10 L/100 km,0.77 L/10km,10.67 L/100 km
25.45 mpg Imp.,8.10 liters per 100 km,10.26 km/L
14.60 L/100km,10.31 km per L,8.07 km per L
22.62 MPG (AS),0.67 L/10km,8.73 L/100km
22.42 mpg Imp.,9.09 km per L,19.80 MPG (AS)
9.71 km/L,zero,26.55 MPG (AS)
8.90 L/100 km,9.10 L/100km,8.99 liters per 100 km
20.63 MPG (AS),8.70 liters per 100 km,10.19 L/100 km
